"연령별(1)","성별(1)",2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"연령별(1)","성별(1)",희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환
"연령별(1)","성별(1)",진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"계","계",589455,16438524,163139555,2898693741,2584893773,631417,20089172,175057002,3163867233,2820442640,680712,21861035,188789853,3509785831,3130617824,707926,22862676,195718583,3854154730,3435228078,743082,24355463,210185642,4241001146,3774905410,767969,25415683,223364389,4608370888,4098716878,833219,27003740,245504061,5057752874,4491794783,884261,28520026,265929693,5605294002,4972915144,868801,27862289,265857144,5834215392,5176701490,931621,29106434,287207218,6320328957,5609724175,985843,29481846,301424826,6670619099,5927852099
"0세","계",3171,23651,129579,4552186,4097048,3541,33538,136785,5891843,5305379,4328,43717,169074,7908062,7119279,5045,51361,197589,10318078,9278780,5621,58894,233703,12119181,10887939,4764,42039,175205,8547574,7658280,4415,33708,164180,4614620,4153785,3866,29137,145867,4353868,3903625,2282,14100,92854,1796751,1607445,2355,15555,90053,2071347,1846440,2260,13116,78049,1874184,1674401
"1 - 4세","계",8170,205979,989764,19667956,17672676,9789,275401,1081178,27016311,24343073,11698,330597,1274228,32003015,28803106,13126,379005,1453416,43501415,39007157,15410,440647,1700140,54393330,48768061,16428,427961,1719467,54319176,48776447,16066,333311,1546257,32571840,29388967,15597,331679,1553730,34186357,30769926,10013,168967,1131369,21521380,19254335,8996,172518,1065045,22221120,19898283,8871,165193,1051477,22463089,20139393
"5 - 9세","계",6079,134421,1093807,30389204,27596375,6389,160438,1136257,27374174,24785777,7318,187446,1223681,29912105,27016677,7478,184982,1272624,34149370,30805361,8939,212909,1454766,40735279,36635191,9669,227569,1559733,42764506,38456953,10459,203589,1597517,33699765,30438504,11123,213533,1742497,36084528,32524797,11122,189055,1747838,35589456,32054843,11885,216874,1887886,42432823,38207896,11992,220354,1955880,41438377,37311333
"10 - 14세","계",7018,118795,1360664,42397707,38423707,7246,148400,1450829,47111200,42626788,7775,158883,1512980,48787979,44174760,7409,148100,1452804,47152110,42618422,8136,154123,1569216,51874111,46842174,8552,155936,1664700,55146901,49839206,8834,135332,1660819,44273307,40105309,9395,142975,1768240,47555016,42969413,9590,132764,1858592,47573070,42979844,11228,165112,2156096,50585109,45672518,12235,179256,2334669,55322732,49940389
"15 - 19세","계",12245,183050,2476706,57874837,52156133,12611,223292,2601313,60849261,54869349,13152,228219,2751220,67555834,60968113,13157,228163,2809005,72334029,65270263,13758,232806,2894176,79843122,71957648,13239,226195,2911787,83829377,75504733,13382,217412,2922020,83458176,75097567,13705,222028,2995539,90530014,81441801,13157,202484,2968084,87616465,78642482,14139,222445,3207490,97679558,87557281,15272,232099,3500590,100271172,89887957
"20 - 24세","계",18561,318545,3935864,76418591,68416929,19615,398055,4156426,82154625,73543877,21252,418659,4546425,91547864,81997080,21867,425923,4788114,102243894,91628932,22360,414775,4991750,105877722,94902812,21863,398711,5123095,111106363,99653436,22594,400285,5370469,120538015,107886996,23019,402627,5531729,132344348,118099800,23092,384652,5609105,139217740,124262193,25153,412300,5990904,151250122,134886163,25747,400504,6048731,160753009,143470444
"25 - 29세","계",24294,444199,5378586,89642011,80009919,24208,518844,5369267,90434979,80712069,25290,530048,5595504,100785391,90054417,25463,526520,5772013,109508192,97821310,26371,533634,6136629,121701496,108619528,26436,539057,6519038,137514654,122846311,28258,558296,7025954,156586545,139647349,30690,588271,7719524,175301683,156307301,32588,587139,8255083,189345396,168708509,35698,617545,8935385,209004031,186238276,37539,626176,9246665,226163835,201589987
"30 - 34세","계",33380,667962,7884100,127611688,113862320,34704,792614,8171741,138452640,123614019,34620,774118,8176720,141363949,126344606,33131,732819,7880080,143198834,127827193,31913,689580,7731884,145050844,129442366,29988,643205,7598982,152465666,136127135,30118,627651,7805961,156872740,139824720,31682,635275,8178621,176170839,156929289,33034,631775,8674426,186288466,165781227,37365,702183,9706409,216728433,192906957,41230,730255,10565051,242437171,215923791
"35 - 39세","계",38427,819941,9929574,150876074,134688558,38112,913742,9767911,151580898,135374480,39016,917729,9942494,162890275,145724150,39262,910941,9982403,176599777,157983375,40331,924140,10507976,190688560,170476829,40172,894952,10855076,197998283,176956925,42630,923349,11516759,219828552,196130150,42624,900801,11633318,231826896,206584426,41754,855653,11384609,232110888,206668772,42970,865185,11675218,248152599,220914573,43074,828184,11538841,252233653,224724760
"40 - 44세","계",46601,1056150,12686505,187030329,167150120,48604,1238552,13189025,201193024,179891338,50580,1271031,13741583,211211727,189061005,49591,1211741,13482822,216218776,193575974,47997,1151789,13412534,223979593,200523251,46811,1124040,13435344,232706087,208183994,46178,1084376,13389288,243276697,217294913,47600,1092520,13838392,266066536,237289496,48782,1067975,14160277,278449033,248301935,52792,1137081,15383269,300508860,267839070,55728,1139308,16009238,317054825,282799201
"45 - 49세","계",45800,1119073,12990486,205900330,184193863,49386,1355811,13994491,222803852,199418626,52760,1441495,14988545,246591823,221082224,54177,1466437,15390688,262681824,235248141,56803,1538524,16630908,286577526,256478115,57391,1543149,17426230,310918186,278272250,59391,1533666,18151750,325017595,290421594,60979,1523674,18808069,343063982,306222489,60868,1463069,18830393,347233342,309783724,61712,1470320,19261561,361914976,322713247,62986,1445758,19538613,372685255,332470506
"50 - 54세","계",57574,1483345,17064216,281153506,252042610,60316,1760421,17799495,295303680,264756361,62184,1807117,18404881,313907620,281790440,61747,1784881,18281468,324376481,290981517,60922,1740394,18599245,329671775,295469147,60006,1723085,19017466,345614453,309445090,64356,1823816,20504030,379409347,339056117,67425,1898410,21824687,414693934,370068039,69237,1873049,22365662,428725118,382485587,74537,1973111,24343082,467778101,417159985,78195,2010192,25520903,493726825,440580302
"55 - 59세","계",56597,1649769,17645159,307953335,275972851,62318,2021654,19426501,336364087,301453375,69143,2185046,21376061,372850721,334549968,72504,2260497,22376560,410225037,367659625,76938,2378379,24382075,449575175,402379086,77773,2394885,25492949,470771730,421166122,80707,2460688,26826666,503814005,449977856,81853,2448258,27606256,524517145,467575825,80606,2332752,27148728,527442707,470150000,81242,2343301,27706528,541881747,482574752,83282,2329456,28198427,550076358,490210149
"60 - 64세","계",50834,1629618,16258621,298701696,267158358,54192,1949571,17422204,319519407,285781181,59728,2139172,19253676,356921468,319511815,66243,2312870,21198409,402407350,360191739,73048,2514641,23970376,456832379,408426090,76635,2616066,25845402,493661077,441034379,84752,2812077,28752013,553704862,493931059,92064,3018373,31874452,621524080,553646699,95901,3031040,33068704,658412407,586615077,103272,3186886,35956644,708219147,630568471,107859,3218488,37359625,740862153,659848686
"65 - 69세","계",48340,1601448,15250557,284399656,253808318,52819,1960705,16798794,310833833,277447836,57923,2151352,18468953,346210061,309282349,62534,2332829,19837526,390557948,348677556,66173,2483757,21536819,431160764,384677183,69621,2621537,23418355,473758200,422339815,74567,2744053,25254689,515308928,458851747,80781,2935640,28022321,572857776,509442245,87784,3082311,30498672,632360147,562490669,98513,3345251,34598004,711396655,633044815,105609,3437890,36886051,751720882,669697716
"70 - 74세","계",55158,1890991,16822050,306755051,272573389,58771,2305100,18033286,337621417,299946080,61511,2424440,18927893,362622765,322405895,62853,2480311,19124236,387726394,344736661,64348,2571876,20044051,416504046,369948567,65711,2599431,20940485,439698368,390502616,72976,2843449,23765229,501922091,445522663,78976,3069661,26168782,569251989,504964584,81812,3116843,27415880,608520493,540187741,86961,3236333,29530987,647682375,575262537,93413,3352008,31605686,696097155,618904959
"75 - 79세","계",42903,1611483,12386663,237064459,209120995,48464,2064928,14052922,276288301,243627051,54568,2381641,15924177,322226696,284284124,57597,2540814,16482058,360195770,317704880,62253,2823433,18238526,406117231,357624458,70164,3172808,20867795,476345806,419619052,78759,3422134,23824358,537435214,473504562,82476,3546422,25709569,590820454,520918527,75991,3354543,24062517,596843211,526559707,79779,3329819,25509174,623211526,550455429,83334,3255770,26341644,640391866,566919752
"80 - 84세","계",23120,980751,6201118,129877208,113546268,26980,1286648,7232960,156151420,136328252,31594,1565424,8543151,192957333,168603342,36214,1832622,9579887,236686111,206771010,41020,2190987,11134314,285118400,248654536,46811,2475241,12748719,332131513,289494149,58189,2888034,16257669,402425814,350930108,65819,3211810,19118885,473604817,413595487,57170,3088958,17190788,491671899,430123256,63746,3239401,19312720,546897592,479852289,72731,3386974,21720544,605347310,533033022
"85세 이상","계",11183,499353,2655536,60427917,52403337,13352,681458,3235617,76922281,66617729,16272,904901,3968607,101531145,87844477,18528,1051860,4356881,124073340,107440182,20741,1300175,5016554,153180611,132192430,25935,1589816,6044561,189072968,162839985,36588,1958514,9168433,242994760,209630816,44587,2308932,11689215,300539741,259661375,34018,2285160,9393563,323497423,280044144,39278,2455214,10890763,370712836,322125195,44486,2510865,11924142,399699248,348725351
