희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
D66.0,1671,31653,33590,134364000000,148528000000
D67.0,389,6066,6461,50277576220,55536599090
D70.0,14960,32471,56526,14622808620,16707794010
D71.0,119,910,1839,638847540,690840100
G10.0,324,1800,12292,991135350,1193086390
G35.0,2627,19618,33339,12375310690,13940830400
A31.9,5892,24368,29052,2072539680,3347744600
A81.0,117,1101,9573,1358544870,1597951880
D12.6,273917,459835,497843,59888499060,95588778310
D55.0,30,65,66,3112840,3671430
D55.2,25,142,197,36990200,42705880
D56.0,23,61,61,3326530,3757930
D56.1,165,544,601,82083580,92438360
D56.2,1,1,1,43770,87370
D56.3,35,101,101,6678510,8756640
D56.4,2,5,5,186820,215720
D59.3,257,1176,2811,5276944230,5835250720
D59.5,463,4653,5137,34062125460,37816160270
D60.0,111,1222,1391,347968220,392484090
D61.0,478,2146,2703,673761610,833326010
D61.3,2149,17624,26914,12284075720,13688434370
D61.9,6969,34671,48656,16925692380,19728573110
D64.4,23,61,60,4049050,4952050
D68.0,342,1174,1414,604401720,683385370
D68.1,58,144,180,24172300,28451530
D68.2,225,1708,1716,2818189500,3116999920
D68.5,678,2470,2771,426244910,512330550
D68.6,3653,15236,16604,1485391950,1839922650
D69.1,1821,4801,5527,870247480,1059394540
D69.3,10430,44633,55118,9360792810,13047006990
D69.4,2411,6275,6705,492223180,835212880
D76.1,656,4527,11887,5558848180,6239416480
D76.3,734,2190,2628,407820750,501069850
D80.0,106,1155,1198,394838960,440753320
D80.1,105,924,1305,417143180,461781360
D80.2,47,175,185,18398760,21959350
D80.3,203,1215,1630,260160730,293576980
D80.4,9,66,66,4411690,4948290
D80.5,19,175,222,73933820,79730630
D80.6,3,69,69,1143890,1265410
D80.8,4,33,41,12836890,14347110
D81.0,4,10,10,165440,222740
D81.1,2,63,386,252637670,279073760
D81.2,6,83,663,290370950,323614290
D81.8,35,103,115,10247140,11511170
D81.9,81,289,451,254243490,270214510
D82.0,33,112,232,179417910,191017670
D82.1,260,2555,2593,187921500,209067470
D82.3,6,45,64,20375300,23182070
D82.4,34,229,254,24278370,28048040
D83.0,18,313,480,126741440,140948000
D83.1,3,40,40,10502770,11667770
D84.0,4,9,33,5033790,5811390
D84.1,153,613,643,396302010,442787290
D86.0,1605,6852,7912,968467320,1116956100
D86.1,623,2485,2679,333930050,380464490
D86.2,562,2414,2580,296571520,341627230
D86.3,210,907,916,47768810,59710900
D86.8,299,1680,2375,436288560,492149460
D89.1,44,171,183,12919830,21168090
E20.1,283,1321,1341,71370140,101539810
E22.0,1678,11189,12164,7894178420,8809709140
E23.0,21668,155050,160837,17434228770,33317846360
E24.0,370,2039,2609,390683000,460532120
E24.1,7,26,50,15586810,18854350
E24.3,37,198,296,80489780,99233060
E25.0,1091,6359,6739,706238270,781749880
E25.9,130,471,492,29192970,34348820
E26.8,196,854,1243,146165300,175768980
E27.1,524,2275,2653,163350610,199132300
E27.2,83,312,507,95020090,113895730
E27.4,9966,37232,57245,4631405160,6068411770
E34.8,604,1292,1416,90692270,157642320
E55.0,423,1526,1554,89842380,111843820
E70.0,100,508,522,289124940,316406920
E70.1,134,677,694,1567354300,1726793520
E70.2,55,173,190,148654900,164533160
E70.3,225,532,563,40451260,50626790
E70.8,11,18,18,772510,1220110
E71.0,28,420,520,154516700,169757040
E71.1,148,1252,1979,680156550,759513770
E71.3,403,2687,3902,676523050,758212010
E72.0,144,1368,1546,218243820,236973460
E72.1,207,827,835,203071860,233947410
E72.2,281,1898,2792,1632856720,1827276650
E72.3,20,227,258,42532840,47878820
E72.4,30,197,516,448194070,471039820
E72.5,58,192,223,37233790,44310830
E72.8,102,265,346,53671430,66665610
E73.0,12,17,17,648750,878750
E74.0,315,2498,3149,9451824900,10445872780
E74.2,196,468,468,52888250,61778320
E74.4,17,528,634,122690510,133988870
E74.8,103,968,1090,141107900,160770000
E75.0,13,298,347,50138080,55080670
E75.1,56,577,1133,196622540,219873390
E75.2,518,9624,11875,47882595630,53131302430
E75.4,26,389,454,72843300,79776430
E75.5,350,867,919,53882300,87618310
E76.0,30,1380,1447,6815980870,7463314730
E76.1,80,5078,5918,28816843620,31776744000
E76.2,63,2190,2448,13896567430,15249175900
E77.0,17,743,834,76538550,83249190
E77.1,8,208,208,8109430,9234330
E79.1,36,977,998,54278590,60386930
E80.2,48,583,674,62132150,74541140
E83.0,1535,8599,11336,2949656140,3309729600
E83.1,714,1710,2081,407430270,514134890
E83.2,42,55,55,4027780,5936180
E83.3,660,2323,2416,960830880,1082139130
E84.0,40,177,226,39193060,46114130
E84.1,37,111,145,15494460,19408300
E85.0,22,111,111,11472750,13148750
E85.1,34,203,204,16817800,18885980
E85.2,48,252,251,41382490,46503160
E85.4,658,3613,6598,1877592170,2157197600
E88.0,3601,10198,12103,827239070,1202053990
E88.1,241,399,404,9444020,20498750
F01.1,1780,7229,22037,1460773340,1912370180
F80.3,20,99,437,26765220,34581360
F84.2,377,11393,12264,795229530,882273560
G04.8,1068,7482,33305,10315189770,12166135330
G11.0,16,720,761,54384550,61171590
G11.1,726,5113,13928,1182869950,1386235530
G11.2,2070,16318,52653,5050756760,5984824600
G11.3,34,367,708,64926040,74093800
G11.4,669,7911,11062,832321790,973497270
G11.8,115,694,2380,235449870,281382530
G11.9,2018,17457,31808,2976211880,3512389550
G12.0,55,1254,1725,3898009230,4117924650
G12.1,305,4977,7147,16652737240,17970736460
G12.2,4174,57595,175876,26050095410,30344088580
G12.8,118,670,1179,333941570,380434910
G12.9,376,6283,10614,16540185140,17788477650
G23.0,48,680,730,86956580,98190230
G23.1,1270,7348,37437,4144539870,4881043510
G23.8,1239,3649,5030,426551910,559538380
G24.8,4388,10785,11045,725355160,1358393040
G25.8,49251,155379,160092,4204339350,6785564480
G36.0,1927,16051,31136,6003701870,6891759270
G40.4,5194,68382,83276,11903864530,13314201230
G41.0,384,2882,8410,1202808270,1391922990
G41.1,154,630,1401,374455380,425752190
G41.2,477,2511,9204,2075280100,2372536820
G41.8,742,3762,19070,4207081990,4821410000
G41.9,4259,27712,124124,29788520750,33869451970
G47.4,5725,20354,22126,1582557540,1922524320
G51.2,4,9,9,229220,350820
G51.8,5396,12384,12774,576844030,873199450
G60.0,1630,8030,9324,743019970,852317040
G61.0,3444,27692,108485,17865988420,20766943410
G61.8,1470,10128,19876,3737958270,4339595050
G70.0,9051,46984,69954,7541333670,8829690900
G70.2,28,343,344,12732490,14378290
G71.0,2514,34108,41755,3240401200,3686796470
G71.1,1596,10728,17913,1790489690,2059708740
G71.2,440,9154,10424,895531120,983108910
G71.3,760,11687,19008,3199955870,3572603900
G71.9,599,1953,2111,92998870,110740930
G72.3,991,2762,3603,513848650,720324340
G72.4,209,849,1478,183235610,249282540
G73.1,62,300,1239,230543070,265978220
G90.5,2474,30946,40017,3733968070,4303208730
G90.6,2911,21983,26282,1831688140,2118846370
G93.4,4791,15001,45659,6307650310,8303037030
G95.0,1740,11278,20981,2095294780,2473884920
H16.3,14619,26067,26124,502290870,695837820
H18.5,6002,11347,11637,619955000,1064410780
H18.6,5251,11761,11874,719391950,992378050
H31.2,251,442,441,30302430,46530010
H35.0,61866,111715,112113,5447292340,8177291990
H49.4,94,313,439,55914440,84955620
H49.8,1338,2517,2735,239419360,372171770
H51.8,447,795,828,59247050,98898740
I27.0,1844,9776,16821,9649892280,10755153160
I27.8,424,2031,3029,1672988140,1878285190
I42.0,25074,115909,193991,52164810230,57947666820
I42.1,2642,10690,14361,3013801180,3355091470
I42.3,37,105,124,13625000,18385030
I42.4,94,375,449,164816090,179832910
I47.2,6986,22858,31775,13458496360,15369132630
I67.5,15102,84168,213302,33551684190,38206925260
I73.1,4433,25717,39229,4167627660,4884290460
I78.0,151,781,993,204198890,236457220
I82.0,329,1682,2208,582386020,661822770
J39.8,24891,46433,48210,2014893990,3403467120
J84.0,233,869,1561,376176460,430247450
J84.1,18611,95433,173677,38891721110,44751840830
K50.0,9040,52365,64358,27544851480,31109902860
K50.1,6657,33705,41039,15863886460,17878762560
K50.8,11773,91775,107960,61057299950,68026515560
K74.3,5965,26549,31656,4622670810,5323258940
K75.4,8428,42334,51990,7732715300,8976767540
K83.0,15226,39880,118916,34197005620,43263644170
L10.0,718,4120,5637,708311180,819317190
L10.2,422,2509,3005,301569400,345659780
L12.0,2297,13976,33497,3184474110,3750285060
L12.1,59,245,541,52524870,63335420
L12.3,90,494,632,113855800,128712130
M06.1,1466,9404,13404,2741706950,3174409440
M08.0,2556,14514,15683,4686325410,5262923420
M08.1,256,1266,1300,339133170,382070200
M08.2,181,1286,1489,341284760,386536240
M08.3,186,736,766,155377060,175619560
M30.0,410,2655,3544,454092380,533652900
M30.1,711,6360,8667,1162964420,1345036880
M30.2,1,5,5,51300,73000
M31.0,328,982,1395,260721910,302546220
M31.1,630,2023,4881,3204676720,3627618680
M31.3,580,4866,7579,1868791840,2119155460
M31.4,1907,11661,13496,1623386360,1848710230
M31.7,912,7322,14363,3528937630,4077464500
M32.1,22264,159569,189324,25787003110,29244518560
M33.0,150,1050,1657,309520470,343243830
M33.1,1893,13588,21365,3702860840,4269001250
M33.2,1624,11395,19781,2930060770,3400007100
M34.0,3284,20722,24110,2998521130,3401755080
M34.1,289,1434,1616,138350600,158437060
M34.8,1109,7073,8570,1181168550,1332145350
M35.0,26011,129672,136486,10607955780,12488716660
M35.1,1786,10010,11427,1375848990,1581811090
M35.2,19352,111544,126082,13349414680,15426398540
M35.3,4725,26745,33859,2962301690,3531240440
M35.4,66,233,288,22527760,29799640
M35.5,130,807,915,100641250,119572090
M35.6,25,331,427,56371590,64966220
M61.1,109,470,529,34669010,43990000
M88.0,21,72,75,5958990,7791050
M88.8,61,189,502,30610940,41869620
M88.9,147,734,1097,69884670,87547670
M92.2,455,1514,1862,208086520,270761120
M93.1,696,2391,3336,411475980,523150510
M94.1,647,3391,4702,528961350,627194500
N04.0,2905,16097,18952,1359945420,2164174230
N04.1,1669,9056,10642,1079745930,1553969550
N04.2,1782,9923,10872,630089340,1092033810
N04.3,230,1286,1382,65704370,117968650
N04.4,22,115,115,3297390,6461390
N04.5,211,839,991,80907150,131747040
N04.6,13,97,103,22206370,28668750
N04.7,29,210,344,64500080,77638950
N25.1,161,688,1504,158370000,188105050
Q03.1,187,3841,4128,367127030,401352960
Q04.2,25,361,606,217814590,227558740
Q04.3,426,9065,10603,1128253310,1234397300
Q04.6,1518,7468,8808,744511650,976254540
Q05.0,6,57,57,3264090,3665390
Q05.1,1,1,1,11580,16480
Q05.2,17,184,184,11115450,12958950
Q05.3,7,29,28,1923800,2156100
Q05.4,14,85,84,4921520,5458020
Q05.5,6,33,33,1822000,2119400
Q05.6,164,379,335,11870100,15346080
Q05.7,97,592,678,43481280,47472750
Q05.8,158,267,302,22923000,25647670
Q05.9,2812,13075,15075,2376226820,2587293350
Q06.2,45,275,374,38256200,43591080
Q07.0,826,5916,8541,1154531460,1311361950
Q11.2,225,557,959,80293940,105553420
Q13.1,182,507,510,39454970,60743970
Q13.8,128,300,314,41544040,53764860
Q14.1,318,659,678,63514290,105465260
Q14.2,709,1471,1483,117034520,193466510
Q16.1,879,2940,3444,583339780,722382010
Q17.2,1702,6828,8841,1671693490,1909648990
Q20.0,119,700,1396,1274623490,1325684050
Q20.1,1123,4900,8123,6047340130,6361361520
Q20.2,27,130,196,238872880,250075320
Q20.3,1314,4588,6853,5269403410,5458135000
Q20.4,1064,5555,9245,6519295700,6878094180
Q20.5,111,333,394,176860560,193599180
Q20.6,64,185,207,41085630,47034910
Q21.2,954,3288,5132,3694625560,3900459460
Q21.3,4386,15979,22576,14724296320,15687298550
Q21.4,61,200,235,117935130,126738160
Q21.8,127,557,876,544641110,605082660
Q22.0,986,3530,5921,4633197900,4857140860
Q22.4,134,730,1563,1313183450,1359493640
Q22.5,756,3061,4255,1566337320,1674176040
Q22.6,73,254,344,188530020,202337810
Q23.0,707,2136,2867,1400914370,1493538620
Q23.1,5456,18800,23660,8378068180,9087710930
Q23.2,100,345,616,383075270,406284460
Q23.3,819,2010,2582,1094884570,1176239500
Q23.4,136,1297,3330,3557073110,3683230600
Q23.8,88,231,260,32008330,38460930
Q23.9,216,671,880,469860820,490040110
Q24.4,127,328,451,234224070,252126720
Q24.5,2822,8310,10403,1746560200,2026741470
Q24.6,99,369,495,257647740,271692210
Q25.1,1326,4178,6937,5803051760,5954864090
Q25.2,52,228,450,484937370,503230550
Q25.3,266,825,1409,570241140,617345400
Q25.5,419,1583,2522,2054454540,2145459850
Q26.0,8,28,30,2833870,3203920
Q26.1,187,500,597,118357080,125964630
Q26.2,393,1698,3603,3829995640,3898731720
Q26.3,304,859,1206,691655080,738125960
Q26.4,20,53,71,30983320,33683150
Q26.5,52,140,176,24754790,28720480
Q26.6,21,33,35,10510720,12351670
Q28.2,4323,14523,23173,8477984110,10295584830
Q38.3,235,336,341,17619260,22233490
Q43.8,220,3191,4263,943319460,1022378880
Q44.2,689,3485,7616,3819669120,4204159730
Q44.6,8670,13261,14236,1294804850,2036630860
Q44.7,143,721,927,218713760,246416110
Q61.1,100,393,497,102199870,119212930
Q61.9,2685,5123,5191,304517540,533093460
Q64.1,26,155,394,144667750,154043730
Q74.0,1788,3469,3797,315801480,436913890
Q74.3,195,2538,3154,418322070,455038880
Q74.8,407,806,1129,146624380,186299220
Q75.0,1818,6977,8854,2190861870,2362022840
Q75.1,124,982,1118,194737270,214086150
Q75.4,75,1105,1256,205359310,225805690
Q76.1,83,290,567,231974540,238832980
Q77.0,6,44,51,8985930,9667950
Q77.1,8,13,13,128730,175030
Q77.2,4,6,6,147810,177410
Q77.3,169,833,964,114464650,136733180
Q77.4,380,3653,4666,780688040,848949690
Q77.5,3,62,62,2707710,3137710
Q77.6,5,68,73,6814060,7348890
Q77.7,150,766,919,95150830,110892490
Q77.8,70,360,409,60183620,67530300
Q77.9,14,36,36,2429950,3132950
Q78.0,433,1990,2471,339274570,386615990
Q78.1,280,1049,1428,216676870,254080500
Q78.2,103,484,632,119631780,136776640
Q78.3,11,59,63,6272550,7554990
Q78.4,533,1614,1970,164755180,214094190
Q78.5,27,65,70,2821100,4910090
Q78.6,312,1073,1457,247910610,283950520
Q78.9,142,243,271,30422790,40537500
Q79.0,276,1182,2323,1928776110,1957724820
Q79.1,321,838,1192,355032310,412235850
Q79.2,233,919,2182,978846170,1028555040
Q79.3,35,189,284,123873390,126884030
Q79.4,9,102,140,33214260,35394170
Q79.5,22,47,45,4969830,6198630
Q79.6,112,808,872,107771160,123742540
Q79.8,345,1520,1811,263157870,292916970
Q79.9,390,2208,2338,164894280,185784610
Q80.1,31,76,76,1736370,3169270
Q80.2,11,55,55,1703160,2229760
Q80.3,16,97,103,7055420,8208200
Q80.4,6,60,105,39743940,40435200
Q81.0,102,249,267,49185310,58446220
Q81.1,3,19,19,23798630,26471530
Q81.2,46,353,585,332226280,370479830
Q82.0,107,402,411,23121420,33753910
Q82.3,219,629,654,53814430,62230440
Q82.4,41,147,150,7459810,9808500
Q82.8,4147,7928,8061,255840950,426215950
Q85.0,5270,26370,30871,7389616970,8444139160
Q85.1,1071,8754,9361,1539813020,1725918340
Q85.8,1123,6047,7789,1352978780,1543275240
Q86.0,1,29,29,1750940,1771440
Q87.0,634,8154,9937,1244037600,1348951710
Q87.1,1229,22220,24411,3601286620,3987052580
Q87.2,651,5402,7306,1482933010,1614061020
Q87.3,277,3649,3815,319717590,355855430
Q87.4,1776,8065,9955,1910810950,2126200160
Q87.5,158,2380,2876,558367560,589460920
Q87.8,880,9438,10679,1483581740,1630018140
Q90.0,872,7823,8075,702113180,761785040
Q90.1,65,437,479,59746350,64034850
Q90.2,49,677,675,39335220,43345760
Q90.9,1750,26091,28674,2027918510,2243750960
Q91.0,26,638,803,139429710,149996170
Q91.1,7,138,138,7356900,8115900
Q91.2,2,194,194,49418930,52499960
Q91.4,3,52,52,2672200,2677100
Q91.5,3,56,56,1348930,1518630
Q91.7,13,243,392,224033320,226369220
Q92.2,9,108,163,35346180,36036310
Q92.3,78,953,976,65338700,76321020
Q92.8,14,381,459,82617240,87833640
Q93.2,25,192,191,18032410,21239360
E16.10,70,414,548,140367840,146594250
G31.81,92,2161,3063,513351830,555313120
G31.88,12911,35127,35848,659227060,853759110
G47.31,127,597,1161,698836900,725661530
H35.51,8407,21791,22465,2232539880,2641403320
H35.52,1391,2718,2717,184255160,299956490
H35.58,390,748,764,80067790,105370200
H35.59,1644,2738,2839,227597550,304445970
I42.20,5472,20055,27301,3902452220,4374513880
I42.80,176,498,821,340054630,393817070
I49.82,567,1820,2572,866281300,960546820
K00.51,197,240,240,6994350,10008720
L73.22,774,4195,4629,394776660,711693410
